Acer Predator Helios Neo 16 PHN16-72-950P NH.QNMSV.001,Intel Core i9-14900H,NVIDIA RTX 4070,90 Wh,2.8 kg,16 inch,2560 x 1600 pixel,--,--,125.225,https://laplap.tech/device/36
Asus ROG Zephyrus G14 GA403UV 2024,AMD Ryzen 9 8945HS,NVIDIA RTX 4050,73 Wh,1.5 kg,14 inch,2560 x 1440 pixel,--,--,83.730,https://laplap.tech/device/35
Acer Nitro V 16 ProPanel ANV16-41-R6NA,AMD Ryzen 7 8845HS,NVIDIA RTX 4060,57 Wh,2.5 kg,16 inch,1920 x 1200 pixel,--,--,96.051,https://laplap.tech/device/34
Acer Predator Triton 14 PT14-51-7979,Intel Core i7-13700H,NVIDIA RTX 4070,76 Wh,1.7 kg,14 inch,2560 x 1600 pixel,--,--,106.493,https://laplap.tech/device/33
Lenovo LOQ 15ARP9 83JC0000US,AMD Ryzen 7 7435HS,NVIDIA RTX 4060,60 Wh,2.4 kg,15.6 inch,1920 x 1080 pixel,,,,https://laplap.tech/device/32
Lenovo Legion Slim 5 16AHP9,AMD Ryzen 7 8845HS,NVIDIA RTX 4070,80 Wh,2.3 kg,16 inch,2560 x 1600 pixel,--,--,121.337,https://laplap.tech/device/31
Acer Predator Helios Neo 14 PHN14-51-99Y8,Intel Core Ultra 9 185H,NVIDIA RTX 4060,76 Wh,1.9 kg,14.5 inch,3072 x 1920 pixel,--,--,93.624,https://laplap.tech/device/30
Acer Swift 14 AI SF14-11T SF14-11T-X1M5,Qualcomm Snapdragon X Elite X1E 78 100,Qualcomm Adreno GPU,75 Wh,,14.5 inch,2560 x 1600 pixel,--,--,20.740,https://laplap.tech/device/29
MSI Gaming Katana A15 AI B8VE-402VN,AMD Ryzen 7 8845HS,NVIDIA RTX 4050,53.5 Wh,2.25 kg,15.6 inch,1920 x 1080 pixel,--,--,--,https://laplap.tech/device/28
ASUS Zenbook 14 OLED UX3405MA-PP151W,Intel Core Ultra 5 125H,Intel Arc graphics GEN 1 (tích hợp),75 Wh,1.2 kg,14 inch,2880 x 1800 pixel,--,--,--,https://laplap.tech/device/27
Apple Macbook Air M1 13 inch,Apple M1,Apple M1,49.9 Wh,1.3 kg,13.3 inch,2560 x 1600 pixel,2.357,8.724,19.559,https://laplap.tech/device/26
ASUS Vivobook S 14 OLED S5406MA-PP198WS,Intel Core Ultra 7 155H,Intel Arc Graphics 140V (tích hợp),75 Wh,1.3 kg,14 inch,3200 x 2000 pixel,,,,https://laplap.tech/device/25
ASUS Vivobook 16 M1605YA-MB303W,AMD Ryzen 7 7730U,AMD Radeon Graphics,42 Wh,1.88 g,16 inch,1920 x 1200 pixel,--,--,--,https://laplap.tech/device/24
Lenovo Yoga Pro 7i 2024,Intel Core Ultra 7 155H,NVIDIA RTX 4050,73 Wh,1.49 g,14.5 inch,2560 x 1600 pixel,--,--,70.853,https://laplap.tech/device/23
ASUS Vivobook S 15 S5507QA-MA089WS,Qualcomm Snapdragon X Elite X1E 78 100,Qualcomm Adreno GPU,70 Wh,,15.6 inch,2880 x 1800 pixel,--,--,20.927,https://laplap.tech/device/22
Apple MacBook Air M3 13 inch,Apple M3,Apple M3,52.6 Wh,1.24 g,13.6 inch,2560 x 1664 pixel,2.989,11.852,31.556,https://laplap.tech/device/21
Microsoft Surface Laptop 7,Qualcomm Snapdragon X Elite X1E 78 100,Qualcomm Adreno GPU,54 Wh,1.34 g,13.8 inch,2304 x 1536 pixel,,,,https://laplap.tech/device/20
Lenovo ThinkPad X1 Carbon Gen 12,Intel Core Ultra 7 155H,Intel Arc Graphics 140V (tích hợp),57 Wh,,14 inch,1920 x 1200 pixel,--,--,--,https://laplap.tech/device/19
