name,cpu,gpu,batteryWh,weightKg,screenInch,resW,resH,totalPixels,gpuScore,cpuSingle,cpuMulti,hasDiscreteGpu,isAmd,isIntel,isApple,normBattery,normWeight,normScreen,normResolution,normGpuScore,normCpuMulti,normCpuSingle,category,link
ASUS Vivobook S 14 OLED S5406MA-PP198WS,Intel Core Ultra 7 155H,Intel Arc Graphics 140V (tích hợp),75.000,1.300,14.000,3200,2000,6400000,0.000,0.000,0.000,0,0,1,0,0.5690,0.7834,0.2000,0.6057,0.0000,0.0000,0.0000,null,https://laplap.tech/device/25
ASUS Vivobook 16 M1605YA-MB303W,AMD Ryzen 7 7730U,AMD Radeon Graphics,42.000,1.880,16.000,1920,1200,2304000,0.000,0.000,0.000,0,1,0,0,0.0000,0.5858,0.6000,0.0323,0.0000,0.0000,0.0000,null,https://laplap.tech/device/24
Lenovo Yoga Pro 7i 2024,Intel Core Ultra 7 155H,NVIDIA RTX 4050,73.000,1.490,14.500,2560,1600,4096000,0.000,0.000,70853.000,0,0,1,0,0.5345,0.7187,0.3000,0.2832,0.0000,0.2885,0.0000,null,https://laplap.tech/device/23
ASUS Vivobook S 15 S5507QA-MA089WS,Qualcomm Snapdragon X Elite X1E 78 100,Qualcomm Adreno GPU,70.000,0.000,15.600,2880,1800,5184000,0.000,0.000,20927.000,0,0,0,0,0.4828,0.0000,0.5200,0.4355,0.0000,0.0653,0.0000,null,https://laplap.tech/device/22
Apple MacBook Air M3 13 inch,Apple M3,Apple M3,52.600,1.240,13.600,2560,1664,4259840,2989.000,11852.000,31556.000,0,0,0,1,0.1828,0.8038,0.1200,0.3061,0.5639,0.1128,0.3013,null,https://laplap.tech/device/21
Microsoft Surface Laptop 7,Qualcomm Snapdragon X Elite X1E 78 100,Qualcomm Adreno GPU,54.000,1.340,13.800,2304,1536,3538944,0.000,0.000,0.000,0,0,0,0,0.2069,0.7698,0.1600,0.2052,0.0000,0.0000,0.0000,null,https://laplap.tech/device/20
Lenovo ThinkPad X1 Carbon Gen 12,Intel Core Ultra 7 155H,Intel Arc Graphics 140V (tích hợp),57.000,0.000,14.000,1920,1200,2304000,0.000,0.000,0.000,0,0,1,0,0.2586,0.0000,0.2000,0.0323,0.0000,0.0000,0.0000,null,https://laplap.tech/device/19
ASUS Zenbook 14 OLED UX3405MA-PP152W,Intel Core Ultra 7 155H,Intel Arc graphics GEN 1 (tích hợp),75.000,0.000,14.000,2880,1800,5184000,0.000,0.000,0.000,0,0,1,0,0.5690,0.0000,0.2000,0.4355,0.0000,0.0000,0.0000,null,https://laplap.tech/device/18
ASUS ROG Strix G16 (2024) G614,Intel Core i7-13650HX,NVIDIA RTX 4060,90.000,2.373,16.000,2560,1600,4096000,0.000,0.000,99389.000,0,0,1,0,0.8276,0.4179,0.6000,0.2832,0.0000,0.4161,0.0000,null,https://laplap.tech/device/17
MSI Stealth A16 AI+,AMD Ryzen AI 9 HX 370,NVIDIA RTX 4070,99.900,2.145,16.000,3840,2400,9216000,0.000,0.000,105344.000,0,1,0,0,0.9983,0.4956,0.6000,1.0000,0.0000,0.4427,0.0000,null,https://laplap.tech/device/16
ACER Gaming Aspire 7,Intel Core i5-12450H,NVIDIA RTX 3050,49.700,1.916,15.600,1920,1080,2073600,0.000,0.000,55735.000,0,0,1,0,0.1328,0.5736,0.5200,0.0000,0.0000,0.2209,0.0000,null,https://laplap.tech/device/15
MSI Prestige A16 AI+,AMD Ryzen AI 9 365,AMD Radeon 890M (tích hợp),82.300,1.972,16.000,3840,2400,9216000,0.000,0.000,33757.000,0,1,0,0,0.6948,0.5545,0.6000,1.0000,0.0000,0.1227,0.0000,null,https://laplap.tech/device/14
Lenovo LOQ 15IAX9,Intel Core i5-12450H,NVIDIA RTX 2050,57.500,1.847,15.600,1920,1080,2073600,0.000,0.000,47990.000,0,0,1,0,0.2672,0.5971,0.5200,0.0000,0.0000,0.1863,0.0000,null,https://laplap.tech/device/12
Acer Nitro V 15,AMD Ryzen 5 6600H,NVIDIA RTX 3050,57.500,2.064,15.600,1920,1080,2073600,0.000,0.000,56515.000,0,1,0,0,0.2672,0.5232,0.5200,0.0000,0.0000,0.2244,0.0000,null,https://laplap.tech/device/11
MSI Stealth 18 Mercedes AMG,Intel Core Ultra 9 185H,NVIDIA RTX 4080,99.000,2.924,18.000,3840,2400,9216000,0.000,0.000,156177.000,0,0,1,0,0.9828,0.2302,1.0000,1.0000,0.0000,0.6700,0.0000,null,https://laplap.tech/device/10
Asus Vivobook S 14,Intel Core Ultra 7 258V,Intel Arc Graphics 140V (tích hợp),75.000,1.291,14.000,2880,1880,5414400,0.000,0.000,28764.000,0,0,1,0,0.5690,0.7864,0.2000,0.4677,0.0000,0.1004,0.0000,null,https://laplap.tech/device/9
Apple MacBook Pro M4,Apple M4,Apple M4,72.400,1.527,14.200,3024,1964,5939136,3683.000,15054.000,37937.000,0,0,0,1,0.5241,0.7061,0.2400,0.5412,0.7947,0.1414,0.4245,null,https://laplap.tech/device/8
MacBook Pro 16 inch M4 Max,Apple M4 Max,Apple M4 Max,100.000,2.150,16.000,3456,2234,7720704,3684.000,26362.000,117237.000,0,0,0,1,1.0000,0.4939,0.6000,0.7906,0.7951,0.4959,0.8595,null,https://laplap.tech/device/7
MacBook Pro 14 inch M4 Pro (base),Apple M4 Pro,Apple M4 Pro,72.400,1.600,14.000,3024,1964,5939136,3789.000,20388.000,60886.000,0,0,0,1,0.5241,0.6812,0.2000,0.5412,0.8300,0.2440,0.6297,null,https://laplap.tech/device/6
Asus TUF Gaming A14 (2024),AMD Ryzen AI 9 HX 370,NVIDIA RTX 4060,72.400,1.400,14.000,2560,1600,4096000,2869.000,15479.000,93537.000,0,1,0,0,0.5241,0.7493,0.2000,0.2832,0.5240,0.3900,0.4408,null,https://laplap.tech/device/5
HP OMEN Transcend 14,Intel Core Ultra 7 155H,NVIDIA RTX 4060,71.000,1.640,14.000,2880,1800,5184000,0.000,0.000,0.000,0,0,1,0,0.5000,0.6676,0.2000,0.4355,0.0000,0.0000,0.0000,null,https://laplap.tech/device/4
Dell XPS 13 2024,Intel Core Ultra 7 256V,Intel Arc Graphics 140V (tích hợp),55.000,1.220,13.000,1920,1200,2304000,0.000,0.000,0.000,0,0,1,0,0.2241,0.8106,0.0000,0.0323,0.0000,0.0000,0.0000,null,https://laplap.tech/device/3
Expertbook P5,Intel Core Ultra 7 258V,Intel Arc Graphics 140V (tích hợp),63.000,1.269,14.000,2560,1600,4096000,0.000,0.000,0.000,0,0,1,0,0.3621,0.7939,0.2000,0.2832,0.0000,0.0000,0.0000,null,https://laplap.tech/device/2
Asus Zenbook S 14 OLED,Intel Core Ultra 7 258V,Intel Arc Graphics 140V (tích hợp),72.000,1.200,14.000,2880,1800,5184000,2721.000,10729.000,29164.000,0,0,1,0,0.5172,0.8174,0.2000,0.4355,0.4747,0.1022,0.2581,null,https://laplap.tech/device/1
